file,Query,FragmentCount,serialiser,,parameterSet,runNr,serializeTiming(ms),deSerializeTiming(ms),outputBytes,Transfertime 1MB/s (ms)
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_32000_gzipped,,9,2,70,42,351055,334.7921371
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_800,,4,2,15,32,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_800_gzipped,,7,2,69,38,351006,334.7454071
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_TURTLE_0,,1,2,32,79,958601,914.1931534
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_TURTLE_0_gzipped,,2,2,33,95,223634,213.2740021
/home/mmlab/serializations-test/queries-10,10,,Turtle_blocks,,1,2,42,125,985803,940.1350021
/home/mmlab/serializations-test/queries-10,10,,Turtle_blocks_gzipped,,4,2,63,145,227306,216.7758942
/home/mmlab/serializations-test/queries-10,10,,Turtle_flat,,2,2,45,135,1548240,1476.516724
/home/mmlab/serializations-test/queries-10,10,,Turtle_flat_gzipped,,5,2,73,125,224614,214.2086029
/home/mmlab/serializations-test/queries-10,10,,Turtle_pretty,,3,2,50,112,1080921,1030.846596
/home/mmlab/serializations-test/queries-10,10,,Turtle_pretty_gzipped,,6,2,75,137,224299,213.9081955
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,3,68,48,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,3,76,59,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,3,67,48,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,3,78,56,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,3,71,62,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,3,75,59,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,,N-Triples_utf-8,,1,3,25,46,1843966,1758.543015
/home/mmlab/serializations-test/queries-10,10,,N-Triples_utf-8_gzipped,,2,3,35,69,234181,223.3324051
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT,,1,3,40,54,1768762,1686.822891
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_gzipped,,3,3,81,73,285191,271.979332
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_Value,,2,3,43,60,1751108,1669.986725
/home/mmlab/serializations-test/queries-10,10,,RDF_THRIFT_Value_gzipped,,4,3,67,74,281982,268.9189911
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_1600,,5,3,18,29,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_1600_gzipped,,8,3,64,43,351201,334.9313736
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_32000,,6,3,27,24,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_32000_gzipped,,9,3,62,42,351200,334.9304199
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_800,,4,3,17,21,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_BINARY_800_gzipped,,7,3,66,43,351124,334.8579407
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_TURTLE_0,,1,3,32,71,958601,914.1931534
/home/mmlab/serializations-test/queries-10,10,,SesameRIO_TURTLE_0_gzipped,,2,3,38,83,223664,213.3026123
/home/mmlab/serializations-test/queries-10,10,,Turtle_blocks,,1,3,53,129,985803,940.1350021
/home/mmlab/serializations-test/queries-10,10,,Turtle_blocks_gzipped,,4,3,56,132,227250,216.7224884
/home/mmlab/serializations-test/queries-10,10,,Turtle_flat,,2,3,50,131,1548240,1476.516724
/home/mmlab/serializations-test/queries-10,10,,Turtle_flat_gzipped,,5,3,54,115,224650,214.2429352
/home/mmlab/serializations-test/queries-10,10,,Turtle_pretty,,3,3,48,111,1080921,1030.846596
/home/mmlab/serializations-test/queries-10,10,,Turtle_pretty_gzipped,,6,3,57,151,224297,213.9062881
/home/mmlab/serializations-test/queries-10,10,304,"ERI_{disable_consistent_predicates=true, block_size=1024}",ERI (1024),4,4,70,53,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,304,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip","ERI (1024,GZIP)",7,4,75,51,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,304,"ERI_{disable_consistent_predicates=true, block_size=2048}",ERI (2048),5,4,67,51,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,304,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip","ERI (2048,GZIP)",8,4,81,55,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,304,"ERI_{disable_consistent_predicates=true, block_size=4096}",ERI (4096),6,4,69,45,261234,249.1321564
/home/mmlab/serializations-test/queries-10,10,304,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip","ERI (4096,GZIP)",9,4,76,57,205222,195.7149506
/home/mmlab/serializations-test/queries-10,10,304,N-Triples_utf-8,N-Triples,1,4,20,46,1843966,1758.543015
